permutation,seed,vmse
27,505,3.1324453625340496
28,101,2.501719308674448
28,202,2.4899552134304916
28,303,3.1302515487719704
28,404,2.4267080000130026
28,505,2.728211499293108
29,101,1.551938052905304
29,202,1.5049394603691022
29,303,1.8200928464194233
29,404,1.2862575710942066
29,505,1.508349497751337
30,101,5.492747770723621
30,202,4.886422993974055
30,303,4.787966980149887
30,404,4.586485538625173
30,505,4.773065494483322
31,101,5.404516000194774
31,202,5.506960501928159
31,303,3.9778492877421914
31,404,4.116593787793856
31,505,4.480436884539939
32,101,1.6385632811458921
32,202,1.5030758436447558
32,303,1.8637320759203932
32,404,1.505976548483755
32,505,1.87387645781899
33,101,2.8182668059929563
33,202,2.6883149485417004
33,303,2.5465299195255167
33,404,2.4760618864118173
33,505,2.251422880201232
34,101,1.7227183570459346
34,202,1.7603965890604194
34,303,1.9374044429850439
34,404,1.4724739987743283
34,505,1.5997235302827026
35,101,3.8026351652852384
35,202,3.3983472745957286
35,303,5.686773317833202
35,404,2.9573074037780955
35,505,3.308072749672897
36,101,1.9687208048808824
36,202,2.4122047474391204
36,303,2.084026484809244
36,404,1.9585732165716894
36,505,1.915269521857484
37,101,2.006661656016746
37,202,2.2041268904112123
37,303,4.16585795866224
37,404,2.09220465024402
37,505,2.428405302045586
38,101,4.434617100146969
38,202,6.0571324035043
38,303,3.792991322869303
38,404,3.2434889382074252
38,505,4.1256855599655164
39,101,4.228541977247758
39,202,3.3816124380620605
39,303,4.140159318620453
39,404,2.777303036206015
39,505,2.187002852380834
40,101,4.363498293453713
40,202,3.300264673344724
40,303,4.169350338639571
40,404,3.005214964895035
40,505,2.836220702885176
41,101,2.586472558775343
41,202,2.4737699448545456
41,303,2.5953555356038307
41,404,2.0302991655253337
41,505,2.0976384632590777
42,101,1.3545179395863507
42,202,1.3898595936354075
42,303,1.8858625829878346
42,404,1.2704031621645828
42,505,1.4608573506583742
43,101,2.3744957919024836
43,202,2.218196089737857
43,303,2.4113600503953183
43,404,2.0323302356056527
43,505,2.0836140723800542
44,101,1.6498011863802322
44,202,1.6729636934402567
44,303,2.0245148550148064
44,404,1.604823427969
44,505,1.221358696561349
45,101,1.8483658956972886
45,202,1.8163317386356017
45,303,1.8726052556015569
45,404,1.7565038711841106
45,505,2.1361315624998016
46,101,2.0731632896302608
46,202,1.5594736265374953
46,303,3.0140135988703802
46,404,2.398702133582363
46,505,2.0474491934438737
47,101,2.8658512645802907
47,202,2.8564476861087384
47,303,3.605909804410886
47,404,2.332305308851083
47,505,2.5639860476786023
48,101,2.1848554055832485
48,202,1.9597125640734145
48,303,2.473927792621353
48,404,1.6095777698333904
48,505,2.2850569120542743
49,101,2.9524622151625426
49,202,2.9010417129770314
49,303,2.049300364615258
49,404,2.9846277183355943
49,505,2.735668683951973
50,101,4.012746640362209
50,202,3.0156744191905913
50,303,3.6144134119741076
50,404,2.1570211504394496
50,505,2.7422276611618503
51,101,2.194236513341357
51,202,2.511684561103635
51,303,2.1976534781395385
51,404,2.2206070775334315
51,505,2.258028995887953
52,101,2.880374326125196
52,202,2.6582053351452912
52,303,2.6735393372855016
52,404,2.680956727962732
52,505,2.8551374951057187
53,101,3.368746823456569
53,202,3.557197532157145
53,303,2.9786654898619176
53,404,3.2336918470389096
53,505,3.5131388582139516
54,101,4.652428308694974
54,202,3.70563130736304
54,303,3.7444883526240837
54,404,3.046646923217313
54,505,3.18451024936091
55,101,3.7088607970726284
55,202,3.4916404812030817
55,303,3.4045905918621027
55,404,2.7431808431581888
55,505,2.8357065594788313
56,101,3.8065378265350125
56,202,3.3502936748914602
56,303,3.0312267546313607
56,404,3.4835522442060864
56,505,3.600682991743442
57,101,3.044068330071745
57,202,3.0160590070807114
57,303,2.7580689558039473
57,404,2.5864942982540184
57,505,2.918917180611171
58,101,2.2138061075764153
58,202,2.7346092589885314
58,303,2.130052578471837
58,404,2.0532665781171935
58,505,1.845292165866385
59,101,3.351457504271969
59,202,4.885238153050216
59,303,7.442070829964014
59,404,3.268816191069687
59,505,2.974502184876305
60,101,3.440751120218719
60,202,3.1086389373853875
60,303,2.211287659993786
60,404,2.391756809694979
60,505,3.883154939471806
61,101,1.3989484141580268
61,202,1.3245193215746527
61,303,1.6080795927455436
61,404,1.1825574940614112
61,505,1.6222829457786776
62,101,1.5787240957642483
62,202,1.8992329225811788
62,303,2.792797169537261
62,404,1.5057305333916697
62,505,1.5958378199902703
63,101,2.032249229467892
63,202,2.2256751371135572
63,303,2.0696626969422156
63,404,2.3722312801345
63,505,2.214319199589928
64,101,4.9542955563509805
64,202,4.416192602158527
64,303,3.688705251322724
64,404,3.1475823340382507
64,505,5.262582543001713
65,101,1.7873875216145991
65,202,1.9329625525229066
65,303,2.118785580660398
65,404,1.9398971858973582
65,505,1.8933343393084319
66,101,3.2601399805028204
66,202,3.2108276645692895
66,303,3.3155429744985723
66,404,1.9141730001077295
66,505,2.3041667589711192
67,101,1.8872387480413582
67,202,1.7302002032622845
67,303,1.4616895950738482
67,404,1.3763176504923726
67,505,1.6900666869145016
68,101,3.791022800740454
68,202,3.1351017678205255
68,303,3.1462794760101835
68,404,2.924931452357468
68,505,3.9352694604669676
69,101,1.8804802332583976
69,202,1.8877040462124397
69,303,1.9282696699451383
69,404,2.103439187417289
69,505,2.0331504081387606
70,101,2.7933318389368975
70,202,2.8406360387307874
70,303,2.966901161927628
70,404,2.6604279356117018
70,505,3.7290057832558716
71,101,3.10384267402365
71,202,2.6592445522962946
71,303,3.0453044371115334
71,404,2.294533907130723
71,505,2.0433722105111807
72,101,1.9562180846469763
72,202,2.1906708874368244
72,303,1.8431195209700237
72,404,2.1803460098859246
72,505,2.1925581236861706
73,101,2.3767552378425467
73,202,1.7445155925653526
73,303,2.5909893847946055
73,404,1.7667113516679933
73,505,2.183161931330067
74,101,1.624447983805444
74,202,1.4242115525676797
74,303,1.9058155985736984
74,404,1.6092468775790303
74,505,1.947583663818959
75,101,2.558137632410738
75,202,2.2053879985261613
75,303,3.18351409477141
75,404,2.1373452603880247
75,505,2.21533675593418
76,101,2.6750310701916216
76,202,2.523409306356332
76,303,3.0703549870189955
76,404,2.9634296568523504
76,505,2.917151021516151
77,101,1.53627704678904
77,202,1.7490236988229526
77,303,2.2419207479371646
77,404,1.5127840028443669
77,505,2.0466735285396624
78,101,3.156254011504014
78,202,3.3656359640176734
78,303,3.4387279119695213
78,404,3.8614906460669527
78,505,3.739934785744132
79,101,1.8945070559345807
79,202,1.956227150778577
79,303,2.087186327062457
79,404,2.208469201819742
79,505,2.4150480383460087
80,101,4.669013713476847
80,202,5.809362718309649
80,303,3.8526093689719993
80,404,4.176595468786847
80,505,5.102124825167775
81,101,3.329819179781145
81,202,3.4013775162864315
81,303,3.3406332100531433
81,404,2.4947247656767515
