permutation,vmse,vmse_std_across_seeds,n_seeds
352,3.6995914751330745,0.28925954385432784,5
353,3.658322645399662,0.30919599878333115,5
354,2.065659740833724,0.3935413278248425,5
355,1.803218563350158,0.04206595654994399,5
356,1.8959165603034713,0.18700183017843625,5
357,3.871294899097973,0.41165640504160966,5
358,2.7917845282235434,0.3552308154094981,5
359,2.542173598981804,0.2660614351466466,5
360,2.918951912178626,0.3354737180113914,5
361,4.805865079619732,0.6540766852910046,5
362,4.462387073204225,0.5217996643639307,5
363,2.816910781584302,0.2061231347556493,5
364,5.134086186339835,0.9295359314182402,5
365,3.983032256366606,0.7133465667629858,5
366,4.453858781883169,0.7469075802875501,5
367,1.7051063172242256,0.22664311139857207,5
368,3.6890845998713315,0.4242951363431625,5
369,3.5824838813729043,0.7655711027738792,5
370,2.784925706603378,0.8047648008539494,5
371,2.877216397522721,0.18652228025234793,5
372,3.0791929477110034,0.3448625029230765,5
373,1.5330121722230836,0.2203855763271898,5
374,1.769300803733558,0.22903528821856203,5
375,3.431104750089811,0.5187667695014904,5
376,3.0191508458081473,0.4864037278733185,5
377,2.767677370391785,0.499727314201172,5
378,3.696245499203994,0.7651362379525447,5
379,2.2977880995441855,0.3883803779818059,5
380,3.146175549540252,0.2562974591063563,5
381,2.6219406686943536,0.08252671260273843,5
382,3.4781494062138365,0.7287494956733274,5
383,1.9478800944826635,0.4567905290276006,5
384,1.7822451511766721,0.10162672866442238,5
385,1.9481972306965516,0.21932876340429724,5
386,3.7139140041286423,0.48044439585600307,5
387,3.999071236079719,0.3640630901079565,5
388,3.2499969978452157,0.25164599784600644,5
389,5.516043966641949,0.46340818349867746,5
390,2.6456886862697013,0.3059975085202735,5
391,3.2078245972395907,0.23934461487349284,5
392,3.3939168287518116,0.6206332983955333,5
393,3.739668748173537,0.6878809688105264,5
394,2.531902272030878,0.2512821808025757,5
395,2.1242196306996664,0.12008457287192885,5
396,2.53118604750021,0.07724892296800896,5
397,3.1263325918937594,0.9072058323663688,5
398,2.1766012759081597,0.2191373818537409,5
399,3.75719583931782,0.3175152607669363,5
400,2.3708839766111396,0.11151517309809011,5
401,2.050615499941158,0.14350515896948102,5
402,2.806597173978896,0.5109403340361859,5
403,5.4824175027120265,0.8721615443837443,5
404,1.879052649269709,0.16598075775425478,5
405,2.8402310852553003,0.19141056169992854,5
406,2.84142922190396,0.2489751420500949,5
407,3.7315013822171466,0.3047487524157457,5
408,1.97692249147592,0.536281182419723,5
409,3.242332209967234,0.2461358622725837,5
410,3.492999756399443,0.7682104779897199,5
411,4.902378923094498,0.8777123560882492,5
412,3.1150207284621123,0.35570757036603573,5
413,2.002849800358983,0.4466905311114658,5
414,3.023543915428367,0.4074712641712674,5
415,3.8434776054418642,0.30229543618681615,5
416,3.579101965323017,0.29603708138126505,5
417,3.5690681090143714,0.2203209604547965,5
418,3.0461498892318217,0.33135387161026025,5
419,2.9436526051149916,0.545276130684915,5
420,1.7958562269932181,0.29205482093489266,5
421,1.4113449537214124,0.24484219377025473,5
422,2.9175602099401687,0.602754165082134,5
423,5.695419588777511,0.9327741441761714,5
424,1.6335314153137368,0.07718787921504838,5
425,3.6749223537644675,0.45635151496124404,5
426,2.1321134974372016,0.2693238502869034,5
427,4.089319013903494,0.2808285228433964,5
428,3.9871873531630335,0.6022377756746862,5
429,2.2816884368738672,0.35076493075133447,5
430,2.974004717969879,0.12321856395139119,5
431,1.6694445620605847,0.34220719929016374,5
432,2.357291662141402,0.4032401668924177,5
433,2.8031224602105356,0.18162187881571057,5
434,2.0961536400982075,0.06456010964405244,5
435,2.824888851052628,0.5459133435741415,5
436,2.2032367279897698,0.45264674019687434,5
437,2.9188390053613564,0.5069745358281518,5
438,4.180919773220569,0.2818572633478902,5
